,,
Year ,No_Smoothing,Lowess(5)
1880,-0.17,-0.09
1881,-0.09,-0.13
1882,-0.11,-0.17
1883,-0.17,-0.2
1884,-0.28,-0.24
1885,-0.33,-0.26
1886,-0.32,-0.27
1887,-0.37,-0.28
1888,-0.18,-0.27
1889,-0.11,-0.26
1890,-0.36,-0.26
1891,-0.23,-0.26
1892,-0.28,-0.27
1893,-0.32,-0.27
1894,-0.31,-0.25
1895,-0.24,-0.23
1896,-0.12,-0.21
1897,-0.12,-0.19
1898,-0.28,-0.17
1899,-0.18,-0.18
1900,-0.09,-0.21
1901,-0.16,-0.24
1902,-0.29,-0.27
1903,-0.38,-0.29
1904,-0.48,-0.32
1905,-0.27,-0.35
1906,-0.23,-0.37
1907,-0.39,-0.38
1908,-0.43,-0.4
1909,-0.49,-0.41
1910,-0.44,-0.42
1911,-0.45,-0.4
1912,-0.37,-0.36
1913,-0.35,-0.33
1914,-0.16,-0.32
1915,-0.14,-0.31
1916,-0.36,-0.3
1917,-0.46,-0.3
1918,-0.3,-0.3
1919,-0.28,-0.29
1920,-0.27,-0.28
1921,-0.19,-0.26
1922,-0.28,-0.25
1923,-0.27,-0.24
1924,-0.27,-0.23
1925,-0.22,-0.22
1926,-0.11,-0.22
1927,-0.22,-0.21
1928,-0.2,-0.2
1929,-0.36,-0.19
1930,-0.16,-0.19
1931,-0.09,-0.19
1932,-0.16,-0.18
1933,-0.28,-0.17
1934,-0.12,-0.16
1935,-0.2,-0.14
1936,-0.15,-0.11
1937,-0.03,-0.06
1938,,
1939,-0.02,
1940,0.06,
1941,0.09,
1942,0.11,
1943,0.1,
1944,0.07,
1945,0.04,
1946,-0.07,
1947,-0.03,-0.04
1948,-0.11,-0.07
1949,-0.11,-0.08
1950,-0.17,-0.08
1951,-0.07,-0.07
1952,,
1953,,
1954,-0.13,-0.06
1955,-0.14,-0.06
1956,-0.19,-0.05
1957,,
1958,,
1959,0.01,
1960,-0.02,
1961,0.01,
1962,,
1963,,
1964,-0.2,-0.04
1965,-0.11,-0.05
1966,-0.06,-0.06
1967,-0.02,-0.05
1968,-0.08,-0.03
1969,,
1970,,
1971,-0.08,
1972,0,
1973,,
1974,-0.07,
1975,-0.01,
1976,-0.1,
1977,0.07,
1978,0.12,
1979,0.16,
1980,0.2,
1981,0.21,
1982,0.21,
1983,0.21,
1984,0.21,
1985,0.22,
1986,0.24,
1987,0.27,
1988,0.31,
1989,0.33,
1990,0.33,
1991,0.33,
1992,0.33,
1993,0.33,
1994,0.34,
1995,0.36,
1996,0.4,
1997,0.42,
1998,0.44,
1999,0.47,
2000,0.5,
2001,0.52,
2002,0.55,
2003,0.58,
2004,0.61,
2005,0.62,
2006,0.62,
2007,0.63,
2008,0.64,
2009,0.64,
2010,0.64,
2011,0.66,
2012,0.69,
2013,0.74,
2014,0.78,
2015,0.83,
2016,0.87,
2017,0.91,
2018,0.93,
2019,0.93,
2020,0.95,
2021,0.97,
2022,0.99,
2023,1.01,